state,population,year,stateyear,justifiable,syg,syg_ever,justifiable100K,murderper100K
Alaska,633316,2001,Alaska2001,1,0,0,1.58,6.1
Alaska,642691,2002,Alaska2002,,0,0,0,5.1
Alaska,650884,2003,Alaska2003,,0,0,0,6
Alaska,661569,2004,Alaska2004,3,0,0,4.53,5.6
Alaska,669488,2005,Alaska2005,,0,0,0,4.8
Alaska,677325,2006,Alaska2006,2,0,0,2.95,5.4
Alaska,682297,2007,Alaska2007,1,0,0,1.47,6.4
Alaska,688125,2008,Alaska2008,,0,0,0,4.1
Alaska,698473,2009,Alaska2009,4,0,0,5.73,3.1
Alaska,714146,2010,Alaska2010,2,0,0,2.8,4.4
Arkansas,2691068,2001,Arkansas2001,,0,0,0,5.5
Arkansas,2704732,2002,Arkansas2002,1,0,0,0.37,5.2
Arkansas,2722291,2003,Arkansas2003,5,0,0,1.84,6.4
Arkansas,2746161,2004,Arkansas2004,,0,0,0,6.4
Arkansas,2776221,2005,Arkansas2005,,0,0,0,6.7
Arkansas,2815097,2006,Arkansas2006,2,0,0,0.71,7.3
Arkansas,2842194,2007,Arkansas2007,1,0,0,0.35,6.7
Arkansas,2867764,2008,Arkansas2008,2,0,0,0.7,5.7
Arkansas,2889450,2009,Arkansas2009,,0,0,0,6.2
Arkansas,2921588,2010,Arkansas2010,3,0,0,1.03,4.7
California,34485623,2001,California2001,31,0,0,0.9,6.4
California,34876194,2002,California2002,34,0,0,0.97,6.8
California,35251107,2003,California2003,43,0,0,1.22,6.8
California,35558419,2004,California2004,36,0,0,1.01,6.7
California,35795255,2005,California2005,27,0,0,0.75,6.9
California,35979208,2006,California2006,37,0,0,1.03,6.8
California,36226122,2007,California2007,44,0,0,1.21,6.2
California,36580371,2008,California2008,28,0,0,0.77,5.8
California,36961664,2009,California2009,40,0,0,1.08,5.3
California,37338198,2010,California2010,35,0,0,0.94,4.9
Colorado,4433068,2001,Colorado2001,1,0,0,0.23,3.6
Colorado,4504265,2002,Colorado2002,,0,0,0,4
Colorado,4548775,2003,Colorado2003,1,0,0,0.22,3.9
Colorado,4599681,2004,Colorado2004,4,0,0,0.87,4.4
Colorado,4660780,2005,Colorado2005,3,0,0,0.64,3.7
Colorado,4753044,2006,Colorado2006,4,0,0,0.84,3.3
Colorado,4842259,2007,Colorado2007,4,0,0,0.83,3.1
Colorado,4935213,2008,Colorado2008,5,0,0,1.01,3.2
Colorado,5024748,2009,Colorado2009,4,0,0,0.8,3.2
Colorado,5047692,2010,Colorado2010,6,0,0,1.19,2.4
Connecticut,3428433,2001,Connecticut2001,3,0,0,0.88,3.1
Connecticut,3448382,2002,Connecticut2002,1,0,0,0.29,2.3
Connecticut,3467673,2003,Connecticut2003,,0,0,0,3
Connecticut,3474610,2004,Connecticut2004,1,0,0,0.29,2.6
Connecticut,3477416,2005,Connecticut2005,1,0,0,0.29,2.9
Connecticut,3485162,2006,Connecticut2006,1,0,0,0.29,3.1
Connecticut,3488633,2007,Connecticut2007,2,0,0,0.57,3
Connecticut,3502932,2008,Connecticut2008,,0,0,0,3.5
Connecticut,3518288,2009,Connecticut2009,,0,0,0,3
Connecticut,3575498,2010,Connecticut2010,,0,0,0,3.6
Delaware,794620,2001,Delaware2001,,0,0,0,2.9
Delaware,804131,2002,Delaware2002,,0,0,0,3.2
Delaware,814905,2003,Delaware2003,,0,0,0,2.9
Delaware,826639,2004,Delaware2004,,0,0,0,2
Delaware,839906,2005,Delaware2005,,0,0,0,4.4
Delaware,853022,2006,Delaware2006,,0,0,0,4.9
Delaware,864896,2007,Delaware2007,,0,0,0,4.3
Delaware,876211,2008,Delaware2008,,0,0,0,6.5
Delaware,885122,2009,Delaware2009,2,0,0,2.26,4.6
Delaware,899792,2010,Delaware2010,1,0,0,1.11,5.3
District of Columbia,578042,2001,District of Columbia2001,,0,0,,
District of Columbia,579585,2002,District of Columbia2002,,0,0,,
District of Columbia,577777,2003,District of Columbia2003,,0,0,,
District of Columbia,579796,2004,District of Columbia2004,,0,0,,
District of Columbia,582049,2005,District of Columbia2005,,0,0,,
District of Columbia,583978,2006,District of Columbia2006,,0,0,,
District of Columbia,586409,2007,District of Columbia2007,,0,0,,
District of Columbia,590074,2008,District of Columbia2008,,0,0,,
District of Columbia,599657,2009,District of Columbia2009,,0,0,,
District of Columbia,604912,2010,District of Columbia2010,3,0,0,4.96,
Hawaii,1218305,2001,Hawaii2001,,0,0,0,2.6
Hawaii,1228069,2002,Hawaii2002,,0,0,0,1.9
Hawaii,1239298,2003,Hawaii2003,,0,0,0,1.7
Hawaii,1252782,2004,Hawaii2004,,0,0,0,2.6
Hawaii,1266117,2005,Hawaii2005,,0,0,0,1.9
Hawaii,1275599,2006,Hawaii2006,1,0,0,0.78,1.6
Hawaii,1276832,2007,Hawaii2007,1,0,0,0.78,1.7
Hawaii,1287481,2008,Hawaii2008,,0,0,0,1.9
Hawaii,1295178,2009,Hawaii2009,2,0,0,1.54,1.8
Hawaii,1363359,2010,Hawaii2010,1,0,0,0.73,1.8
Iowa,2929424,2001,Iowa2001,1,0,0,0.34,1.7
Iowa,2929264,2002,Iowa2002,,0,0,0,1.5
Iowa,2932799,2003,Iowa2003,,0,0,0,1.6
Iowa,2941358,2004,Iowa2004,2,0,0,0.68,1.6
Iowa,2949450,2005,Iowa2005,,0,0,0,1.3
Iowa,2964391,2006,Iowa2006,,0,0,0,1.8
Iowa,2978719,2007,Iowa2007,,0,0,0,1.2
Iowa,2993987,2008,Iowa2008,,0,0,0,2.5
Iowa,3007856,2009,Iowa2009,,0,0,0,1.3
Iowa,3050202,2010,Iowa2010,,0,0,0,1.3
Maine,1284791,2001,Maine2001,,0,0,0,1.4
Maine,1293938,2002,Maine2002,,0,0,0,1.1
Maine,1303102,2003,Maine2003,,0,0,0,1.2
Maine,1308253,2004,Maine2004,,0,0,0,1.4
Maine,1311631,2005,Maine2005,,0,0,0,1.4
Maine,1314963,2006,Maine2006,,0,0,0,1.7
Maine,1317308,2007,Maine2007,2,0,0,1.52,1.6
Maine,1319691,2008,Maine2008,,0,0,0,2.4
Maine,1318301,2009,Maine2009,,0,0,0,2
Maine,1327379,2010,Maine2010,1,0,0,0.75,1.8
Maryland,5375033,2001,Maryland2001,7,0,0,1.3,8.3
Maryland,5439913,2002,Maryland2002,9,0,0,1.65,9.4
Maryland,5496708,2003,Maryland2003,6,0,0,1.09,9.5
Maryland,5542659,2004,Maryland2004,6,0,0,1.08,9.4
Maryland,5582520,2005,Maryland2005,4,0,0,0.72,9.9
Maryland,5612196,2006,Maryland2006,6,0,0,1.07,9.7
Maryland,5634242,2007,Maryland2007,1,0,0,0.18,9.8
Maryland,5658655,2008,Maryland2008,3,0,0,0.53,8.8
Maryland,5699478,2009,Maryland2009,5,0,0,0.88,7.7
Maryland,5785681,2010,Maryland2010,7,0,0,1.21,7.4
Massachusetts,6411730,2001,Massachusetts2001,,0,0,0,2.3
Massachusetts,6440978,2002,Massachusetts2002,,0,0,0,2.7
Massachusetts,6451637,2003,Massachusetts2003,,0,0,0,2.2
Massachusetts,6451279,2004,Massachusetts2004,1,0,0,0.16,2.6
Massachusetts,6453031,2005,Massachusetts2005,,0,0,0,2.7
Massachusetts,6466399,2006,Massachusetts2006,,0,0,0,2.9
Massachusetts,6499275,2007,Massachusetts2007,,0,0,0,2.9
Massachusetts,6543595,2008,Massachusetts2008,,0,0,0,2.6
Massachusetts,6593587,2009,Massachusetts2009,,0,0,0,2.6
Massachusetts,6555466,2010,Massachusetts2010,2,0,0,0.31,3.2
Minnesota,4982813,2001,Minnesota2001,1,0,0,0.2,2.4
Minnesota,5017458,2002,Minnesota2002,,0,0,0,2.2
Minnesota,5047862,2003,Minnesota2003,,0,0,0,2.5
Minnesota,5079344,2004,Minnesota2004,,0,0,0,2.2
Minnesota,5106560,2005,Minnesota2005,3,0,0,0.59,2.2
Minnesota,5148346,2006,Minnesota2006,,0,0,0,2.4
Minnesota,5191206,2007,Minnesota2007,1,0,0,0.19,2.2
Minnesota,5230567,2008,Minnesota2008,4,0,0,0.76,2.1
Minnesota,5266214,2009,Minnesota2009,2,0,0,0.38,1.4
Minnesota,5310658,2010,Minnesota2010,2,0,0,0.38,1.8
Nebraska,1717948,2001,Nebraska2001,,0,0,0,2.5
Nebraska,1725083,2002,Nebraska2002,1,0,0,0.58,2.8
Nebraska,1733680,2003,Nebraska2003,,0,0,0,3.2
Nebraska,1742184,2004,Nebraska2004,,0,0,0,2.3
Nebraska,1751721,2005,Nebraska2005,1,0,0,0.57,2.5
Nebraska,1760435,2006,Nebraska2006,,0,0,0,2.8
Nebraska,1769912,2007,Nebraska2007,,0,0,0,3.8
Nebraska,1781949,2008,Nebraska2008,,0,0,0,3.8
Nebraska,1796619,2009,Nebraska2009,2,0,0,1.11,2.3
Nebraska,1830141,2010,Nebraska2010,1,0,0,0.55,3
Nevada,2094509,2001,Nevada2001,3,0,0,1.43,8.5
Nevada,2166214,2002,Nevada2002,4,0,0,1.85,8.3
Nevada,2236949,2003,Nevada2003,3,0,0,1.34,8.8
Nevada,2328703,2004,Nevada2004,5,0,0,2.15,7.4
Nevada,2408804,2005,Nevada2005,5,0,0,2.08,8.5
Nevada,2493405,2006,Nevada2006,3,0,0,1.2,9
Nevada,2567752,2007,Nevada2007,5,0,0,1.95,7.5
Nevada,2615772,2008,Nevada2008,6,0,0,2.29,6.3
Nevada,2643085,2009,Nevada2009,5,0,0,1.89,5.9
Nevada,2704283,2010,Nevada2010,3,0,0,1.11,5.9
New Hampshire,1256879,2001,New Hampshire2001,,0,0,0,1.4
New Hampshire,1271163,2002,New Hampshire2002,,0,0,0,0.9
New Hampshire,1281871,2003,New Hampshire2003,,0,0,0,1.4
New Hampshire,1292766,2004,New Hampshire2004,,0,0,0,1.4
New Hampshire,1301415,2005,New Hampshire2005,1,0,0,0.77,1.4
New Hampshire,1311894,2006,New Hampshire2006,,0,0,0,1
New Hampshire,1317343,2007,New Hampshire2007,,0,0,0,1.1
New Hampshire,1321872,2008,New Hampshire2008,,0,0,0,1
New Hampshire,1324575,2009,New Hampshire2009,,0,0,0,0.8
New Hampshire,1316807,2010,New Hampshire2010,,0,0,0,1
New Jersey,8489469,2001,New Jersey2001,3,0,0,0.35,4
New Jersey,8544115,2002,New Jersey2002,2,0,0,0.23,3.9
New Jersey,8583481,2003,New Jersey2003,2,0,0,0.23,4.7
New Jersey,8611530,2004,New Jersey2004,7,0,0,0.81,4.5
New Jersey,8621837,2005,New Jersey2005,,0,0,0,4.8
New Jersey,8623721,2006,New Jersey2006,6,0,0,0.7,4.9
New Jersey,8636043,2007,New Jersey2007,1,0,0,0.12,4.4
New Jersey,8663398,2008,New Jersey2008,3,0,0,0.35,4.3
New Jersey,8707739,2009,New Jersey2009,,0,0,0,3.7
New Jersey,8799593,2010,New Jersey2010,2,0,0,0.23,4.2
New Mexico,1828809,2001,New Mexico2001,1,0,0,0.55,5.4
New Mexico,1850035,2002,New Mexico2002,4,0,0,2.16,8.2
New Mexico,1869683,2003,New Mexico2003,1,0,0,0.53,6
New Mexico,1891829,2004,New Mexico2004,,0,0,0,8.9
New Mexico,1916538,2005,New Mexico2005,1,0,0,0.52,7.4
New Mexico,1942608,2006,New Mexico2006,4,0,0,2.06,6.8
New Mexico,1968731,2007,New Mexico2007,2,0,0,1.02,8.2
New Mexico,1986763,2008,New Mexico2008,1,0,0,0.5,7.2
New Mexico,2009671,2009,New Mexico2009,3,0,0,1.49,9.9
New Mexico,2065913,2010,New Mexico2010,3,0,0,1.45,6.9
New York,19088978,2001,New York2001,8,0,0,0.42,5
New York,19161873,2002,New York2002,11,0,0,0.57,4.7
New York,19231101,2003,New York2003,20,0,0,1.04,4.9
New York,19297933,2004,New York2004,18,0,0,0.93,4.6
New York,19330891,2005,New York2005,16,0,0,0.83,4.5
New York,19356564,2006,New York2006,12,0,0,0.62,4.8
New York,19422777,2007,New York2007,,0,0,,4.2
New York,19467789,2008,New York2008,,0,0,,4.3
New York,19541453,2009,New York2009,,0,0,,4
New York,19395206,2010,New York2010,,0,0,,4.5
North Carolina,8203451,2001,North Carolina2001,21,0,0,2.56,6.2
North Carolina,8316617,2002,North Carolina2002,19,0,0,2.28,6.6
North Carolina,8416451,2003,North Carolina2003,12,0,0,1.43,6.1
North Carolina,8531283,2004,North Carolina2004,6,0,0,0.7,6.2
North Carolina,8669452,2005,North Carolina2005,11,0,0,1.27,6.7
North Carolina,8866977,2006,North Carolina2006,10,0,0,1.13,6.1
North Carolina,9064074,2007,North Carolina2007,4,0,0,0.44,6.5
North Carolina,9247134,2008,North Carolina2008,3,0,0,0.32,6.5
North Carolina,9380884,2009,North Carolina2009,10,0,0,1.07,5.2
North Carolina,9560234,2010,North Carolina2010,,0,0,,5
Pennsylvania,12299533,2001,Pennsylvania2001,9,0,0,0.73,5.3
Pennsylvania,12326302,2002,Pennsylvania2002,8,0,0,0.65,5.1
Pennsylvania,12357524,2003,Pennsylvania2003,6,0,0,0.49,5.3
Pennsylvania,12388368,2004,Pennsylvania2004,10,0,0,0.81,5.2
Pennsylvania,12418161,2005,Pennsylvania2005,10,0,0,0.81,6.1
Pennsylvania,12471142,2006,Pennsylvania2006,5,0,0,0.4,5.9
Pennsylvania,12522531,2007,Pennsylvania2007,13,0,0,1.04,5.8
Pennsylvania,12566368,2008,Pennsylvania2008,14,0,0,1.11,5.6
Pennsylvania,12604767,2009,Pennsylvania2009,12,0,0,0.95,5.3
Pennsylvania,12717722,2010,Pennsylvania2010,12,0,0,0.94,5.2
Rhode Island,1058051,2001,Rhode Island2001,,0,0,0,3.7
Rhode Island,1066034,2002,Rhode Island2002,,0,0,0,3.8
Rhode Island,1071504,2003,Rhode Island2003,,0,0,0,2.3
Rhode Island,1071414,2004,Rhode Island2004,,0,0,0,2.4
Rhode Island,1064989,2005,Rhode Island2005,,0,0,0,3.2
Rhode Island,1060196,2006,Rhode Island2006,,0,0,0,2.6
Rhode Island,1055009,2007,Rhode Island2007,,0,0,0,1.8
Rhode Island,1053502,2008,Rhode Island2008,,0,0,0,2.8
Rhode Island,1053209,2009,Rhode Island2009,,0,0,0,3
Rhode Island,1052528,2010,Rhode Island2010,1,0,0,0.95,2.8
South Dakota,758983,2001,South Dakota2001,,0,0,0,0.9
South Dakota,762107,2002,South Dakota2002,,0,0,0,1.4
South Dakota,766975,2003,South Dakota2003,,0,0,0,1.3
South Dakota,774283,2004,South Dakota2004,,0,0,0,2.3
South Dakota,780084,2005,South Dakota2005,,0,0,0,2.3
South Dakota,788519,2006,South Dakota2006,,0,0,0,1.2
South Dakota,797035,2007,South Dakota2007,,0,0,0,2.1
South Dakota,804532,2008,South Dakota2008,,0,0,0,3.2
South Dakota,812383,2009,South Dakota2009,,0,0,0,3.7
South Dakota,816598,2010,South Dakota2010,1,0,0,1.22,2.8
Vermont,612153,2001,Vermont2001,,0,0,0,1.1
Vermont,614950,2002,Vermont2002,,0,0,0,2.1
Vermont,616559,2003,Vermont2003,,0,0,0,2.3
Vermont,618145,2004,Vermont2004,,0,0,0,2.6
Vermont,618814,2005,Vermont2005,,0,0,0,1.3
Vermont,619985,2006,Vermont2006,,0,0,0,1.9
Vermont,620460,2007,Vermont2007,,0,0,0,1.9
Vermont,621049,2008,Vermont2008,,0,0,0,2.7
Vermont,621760,2009,Vermont2009,,0,0,0,1.3
Vermont,625909,2010,Vermont2010,,0,0,0,1.1
Virginia,7191304,2001,Virginia2001,5,0,0,0.7,5.1
Virginia,7283541,2002,Virginia2002,5,0,0,0.69,5.3
Virginia,7373694,2003,Virginia2003,3,0,0,0.41,5.6
Virginia,7468914,2004,Virginia2004,1,0,0,0.13,5.2
Virginia,7563887,2005,Virginia2005,4,0,0,0.53,6.1
Virginia,7646996,2006,Virginia2006,4,0,0,0.52,5.2
Virginia,7719749,2007,Virginia2007,8,0,0,1.04,5.3
Virginia,7795424,2008,Virginia2008,9,0,0,1.15,4.7
Virginia,7882590,2009,Virginia2009,16,0,0,2.03,4.7
Virginia,8023953,2010,Virginia2010,8,0,0,1,4.6
Wisconsin,5408769,2001,Wisconsin2001,2,0,0,0.37,3.6
Wisconsin,5446766,2002,Wisconsin2002,2,0,0,0.37,2.8
Wisconsin,5476796,2003,Wisconsin2003,7,0,0,1.28,3.3
Wisconsin,5511385,2004,Wisconsin2004,2,0,0,0.36,2.8
Wisconsin,5541443,2005,Wisconsin2005,7,0,0,1.26,3.5
Wisconsin,5571680,2006,Wisconsin2006,2,0,0,0.36,3
Wisconsin,5601571,2007,Wisconsin2007,6,0,0,1.07,3.3
Wisconsin,5627610,2008,Wisconsin2008,6,0,0,1.07,2.6
Wisconsin,5654774,2009,Wisconsin2009,7,0,0,1.24,2.6
Wisconsin,5691659,2010,Wisconsin2010,,0,0,,2.7
Wyoming,492982,2001,Wyoming2001,,0,0,0,1.8
Wyoming,497069,2002,Wyoming2002,,0,0,0,3
